!EXCLAMATION-POINT	ĔKS-klŭ-ˈMĀ-shŭn-POYNT
"CLOSE-QUOTE	ˈKLŌZ-ˈKWŌT
"DOUBLE-QUOTE	ˈDŬ-bŭl-ˈKWŌT
BRANIFF	ˈBRĂ-nĭf
BRANIFF'S	ˈBRĂ-nĭfs
BRANIGAN	ˈBRĂ-nĭ-gŭn
BRANILLO	brŭ-ˈNĬ-lō
BRANIN	ˈBRĂ-nĭn
BRANISLOV	ˈBRĂ-nĭ-SLŎV
BRANITZKY	brŭ-ˈNĬT-SKĒ
BRANK	ˈBRĂNGK
BRANK'S	ˈBRĂNGKS
BRANKI	ˈBRĂNG-kē
BRANKO	ˈBRĂNG-kō
BRANKS	ˈBRĂNGKS
BRANN	ˈBRĂN
BRANNA	ˈBRĂ-nŭ
BRANNAM	ˈBRĂ-nŭm
BRANNAN	ˈBRĂ-nŭn
BRANNEN	ˈBRĂ-nŭn
BRANNER	ˈBRĂ-nur
BRANNICK	ˈBRĂ-nĭk
BRANNIGAN	ˈBRĂ-nĭ-gŭn
BRANNING	ˈBRĂ-nĭng
BRANNOCK	ˈBRĂ-nŭk
BRANNON	ˈBRĂ-nŭn
BRANNUM	ˈBRĂ-nŭm
BRANON	ˈBRĂ-nŭn
BRANSCOM	ˈBRĂN-skŭm
BRANSCOMB	ˈBRĂN-skŭm
BRANSCOME	ˈBRĂNZ-KŬM
BRANSCUM	ˈBRĂN-skŭm
BRANSFIELD	ˈBRĂNZ-FĒLD
BRANSFORD	ˈBRĂNS-furd
BRANSOM	ˈBRĂN-sŭm
BRANSON	ˈBRĂN-sŭn
BRANSON'S	ˈBRĂN-SŬNZ
BRANSTAD	ˈBRĂN-STĂD
BRANSTETTER	ˈBRĂN-stĭ-tur
BRANT	ˈBRĂNT
BRANTLEY	ˈBRĂNT-lē
BRANTLY	ˈBRĂNT-lē
BRANTNER	ˈBRĂNT-nur
BRANTON	ˈBRĂN-tŭn
BRANUM	ˈBRĂ-nŭm
BRANYON	ˈBRĂN-yŭn
BRANZ	ˈBRĂNZ
BRAQUE	ˈBRĂK
BRAS	ˈBRĂS
BRAS(1)	ˈBRŎS
BRASCADE	brŭ-ˈSKĀD
BRASCAN	ˈBRĂ-skŭn
BRASCH	ˈBRĂSH
BRASCO	ˈBRĂ-skō
BRASE	ˈBRĀZ
BRASEL	ˈBRĂ-sŭl
BRASELTON	brŭ-ˈSĔL-tŭn
BRASFIELD	ˈBRĂS-fēld
BRASH	ˈBRĂSH
BRASHEAR	ˈBRĂ-shēr
BRASHEARS	ˈBRĂ-shērz
BRASHER	ˈBRĂ-shur
BRASHERS	ˈBRĂ-shurz
BRASHIER	ˈBRĂ-shē-ur
BRASHNESS	ˈBRĂSH-nŭs
BRASIL	ˈBRĂ-sŭl
BRASIL(1)	brŭ-ˈSĒL
BRASILIA	brŭ-ˈZĬL-yŭ
BRASILIA(1)	brŭ-ˈSĬL-yŭ
BRASINGTON	ˈBRĂ-sĭng-tŭn
BRASOW	ˈBRĂ-sō
BRASOW(1)	ˈBRĂ-zō
BRASS	ˈBRĂS
BRASSARD	ˈBRĂ-surd
BRASSEAUX	brŏ-ˈSŌ
BRASSELL	ˈBRĂ-sŭl
BRASSERIE	ˈBRĂ-sŭ-RĒ
BRASSES	ˈBRĂ-sĭz
BRASSEUR	ˈBRĂ-SUR
BRASSEUX	ˈBRŎ-SO͝O
BRASSFIELD	ˈBRĂS-FĒLD
BRASSO	ˈBRĂ-sō
BRASSO'S	ˈBRĂ-sōz
BRASSY	ˈBRĂ-sē
BRASWELL	ˈBRĂ-swĕl
BRAT	ˈBRĂT
BRATCHER	ˈBRĂ-chur
BRATON	ˈBRĂ-tĭn
BRATS	ˈBRĂTS
BRATSCH	ˈBRĂCH
BRATT	ˈBRĂT
BRATTAIN	brŭ-ˈTĀN
BRATTASLAVA	BRŎ-tŭ-ˈSLŎ-vŭ
BRATTASLAVA'S	BRŎ-tŭ-ˈSLŎ-vŭz
BRATTEN	ˈBRĂ-tŭn
BRATTIN	ˈBRĂ-tĭn
BRATTLE	ˈBRĂ-tŭl
BRATTON	ˈBRĂ-tŭn
BRATWURST	ˈBRĂ-twurst
BRATZ	ˈBRĂTS
BRAU	ˈBROW
BRAUCH	ˈBRŎCH
BRAUCHER	ˈBRŎ-chur
BRAUCHLI	ˈBRŎCH-lē
BRAUD	ˈBRŎD
BRAUDE	ˈBRŎD
BRAUER	ˈBROW-ur
BRAUGHTON	ˈBRŎ-tŭn
BRAUHAU	ˈBRŎ-HŎ
BRAULT	ˈBRŎLT
BRAUN	ˈBRŎN
BRAUN'S	ˈBRŎNZ
BRAUND	ˈBRŎND
BRAUNE	ˈBRŎN
BRAUNER	ˈBRŎ-nur
BRAUNS	ˈBRŎNZ
BRAUNSCHWEIG	ˈBROWNSH-wīg
BRAUNSTEIN	ˈBRŎN-STĒN
BRAUNSTEIN(1)	ˈBRŎN-STĪN
BRAUNWALD	ˈBRŎN-WŎLD
BRAUSE	ˈBRŎZ
BRAUTIGAM	ˈBRŌ-tĭ-gŭm
BRAUTIGAMS	ˈBRŎ-tĭ-gămz
BRAVADO	brŭ-ˈVŎ-dō
BRAVE	ˈBRĀV
BRAVED	ˈBRĀVD
BRAVEHEART	ˈBRĀV-hŏrt
BRAVELY	ˈBRĀV-lē
BRAVER	ˈBRĀ-vur
BRAVERMAN	ˈBRĀ-vur-mŭn
BRAVERY	ˈBRĀ-vur-ē
BRAVES	ˈBRĀVZ
BRAVES'	ˈBRĀVZ
BRAVEST	ˈBRĀ-vŭst
BRAVING	ˈBRĀ-vĭng
BRAVO	ˈBRŎ-vō
BRAVURA	brŭv-ˈYO͝O-rŭ
BRAWER	ˈBRŎ-ur
BRAWL	ˈBRŎL
BRAWLEY	ˈBRŎ-lē
BRAWLING	ˈBRŎ-lĭng
BRAWLS	ˈBRŎLZ
BRAWN	ˈBRŎN
BRAWNER	ˈBRŎ-nur
BRAWNY	ˈBRŎ-nē
BRAXTON	ˈBRĂK-stŭn
BRAY	ˈBRĀ
BRAYBOY	ˈBRĀ-BOY
BRAYER	ˈBRĀ-ur
BRAYFIELD	ˈBRĀ-FĒLD
BRAYMAN	ˈBRĀ-mŭn
BRAYTON	ˈBRĀ-tŭn
BRAZ	ˈBRĂZ
BRAZDA	ˈBRĂZ-dŭ
BRAZEAL	brŭ-ˈZĒL
BRAZEAU	brŭ-ˈZŌ
BRAZEE	ˈBRĂ-zē
BRAZEL	ˈBRĂ-zŭl
BRAZELL	ˈBRĂ-zŭl
BRAZELTON	brŭ-ˈZĔL-tŭn
BRAZEN	ˈBRĀ-zŭn
BRAZENLY	ˈBRĀ-zŭn-lē
BRAZENNESS	ˈBRĀ-zŭ-nŭs
BRAZIEL	brŭ-ˈZĒL
BRAZIER	ˈBRĀ-zē-ur
BRAZIERS	ˈBRĀ-zhurz
BRAZIL	brŭ-ˈZĬL
BRAZIL'S	brŭ-ˈZĬLZ
BRAZILE	ˈBRŎ-zīl
BRAZILIAN	brŭ-ˈZĬL-yŭn
BRAZILIANS	brŭ-ˈZĬL-yŭnz
BRAZILL	ˈBRĂ-zŭl
BRAZOS	ˈBRŎ-zōs
BRAZZAVILLE	ˈBRĂ-zŭ-vĭl
BRAZZAVILLE'S	ˈBRĂ-zŭ-vĭlz
BRAZZEL	ˈBRĂ-zŭl
BRAZZELL	ˈBRĂ-zŭl
BRCA	ˈBRĬ-kŭ
BRCKO	ˈBURCH-kō
BRCKO'S	ˈBURCH-kōz
BREA	ˈBRĒ
BREACH	ˈBRĒCH
BREACHED	ˈBRĒCHT
BREACHES	ˈBRĒ-chĭz
BREACHING	ˈBRĒ-chĭng
BREAD	ˈBRĔD
BREADBASKET	ˈBRĔD-BĂ-skŭt
BREADBOX	ˈBRĔD-BŎKS
BREADED	ˈBRĔ-dĭd
BREADFRUIT	ˈBRĔD-FRO͞OT
BREADING	ˈBRĔ-dĭng
BREADS	ˈBRĔDZ
BREADTH	ˈBRĔDTH
BREADWINNER	ˈBRĔD-WĬ-nur
BREADWINNERS	ˈBRĔD-WĬ-nurz
BREADY	ˈBRĔ-dē
BREAK	ˈBRĀK
BREAK-IN	ˈBRĀ-KĬN
BREAKABLE	ˈBRĀ-kŭ-bŭl
BREAKAGE	ˈBRĀ-kĭj
BREAKAWAY	ˈBRĀ-kŭ-WĀ
BREAKDOWN	ˈBRĀK-DOWN
BREAKDOWNS	ˈBRĀK-DOWNZ
BREAKER	ˈBRĀ-kur
BREAKERS	ˈBRĀ-kurz
BREAKEVEN	ˈBRĀ-KĒ-vŭn
BREAKEY	ˈBRĀ-kē
BREAKFAST	ˈBRĔK-fŭst
BREAKFASTS	ˈBRĔK-fŭsts
BREAKFIELD	ˈBRĀK-FĒLD
BREAKING	ˈBRĀ-kĭng
BREAKMATE	ˈBRĀK-MĀT
BREAKNECK	ˈBRĀK-NĔK
BREAKOUT	ˈBRĀ-KOWT
BREAKOUTS	ˈBRĀ-KOWTS
BREAKS	ˈBRĀKS
BREAKTHROUGH	ˈBRĀK-THRO͞O
BREAKTHROUGHS	ˈBRĀK-THRO͞OZ
BREAKUP	ˈBRĀ-KŬP
BREAKUPS	ˈBRĀ-kŭps
BREAKWATER	ˈBRĀ-KWŎ-tur
BREAKY	ˈBRĀ-kē
BREAM	ˈBRĒM
BREAN	ˈBRĒN
BREARLEY	ˈBRUR-lē
BREAST	ˈBRĔST
BREASTED	ˈBRĔ-stŭd
BREASTED(1)	ˈBRĔ-stĭd
BREASTFED	ˈBRĔST-FĔD
BREASTFEED	ˈBRĔST-fēd
BREASTFEEDING	ˈBRĔST-fē-dĭng
BREASTFEEDING'S	ˈBRĔST-fē-dĭngz
BREASTFEEDS	ˈBRĔST-fēdz
BREASTING	ˈBRĔ-stĭng
BREASTPLATE	ˈBRĔST-PLĀT
BREASTS	ˈBRĔSTS
BREATH	ˈBRĔTH
BREATHE	ˈBRĒ𝘵𝘩
BREATHED	ˈBRĒ𝘵𝘩D
BREATHER	ˈBRĒ-𝘵𝘩ur
BREATHES	ˈBRĒ𝘵𝘩Z
BREATHING	ˈBRĒ-𝘵𝘩ĭng
BREATHLESS	ˈBRĔTH-lŭs
BREATHLESSLY	ˈBRĔTH-lŭ-slē
BREATHS	ˈBRĔTHS
BREATHTAKING	ˈBRĔTH-TĀ-kĭng
BREATHTAKINGLY	ˈBRĔTH-TĀ-kĭn-glē
BREATHY	ˈBRĔ-thē
BREAU	ˈBRŌ
BREAULT	ˈBRŌ
BREAUX	ˈBRŌ
BREAUX(1)	ˈBRO͞O
BREAZEALE	ˈBRĒ-ZĒL
BREBACH	ˈBRĔ-bŭk
BRECHBILL	ˈBRĔK-bŭl
BRECHEEN	ˈBRĔ-kēn
BRECHEISEN	ˈBRĔ-kī-sŭn
BRECHER	ˈBRĔ-kur
BRECHT	ˈBRĔKT
BRECHTEL	ˈBRĔK-tŭl
BRECK	ˈBRĔK
BRECKENRIDGE	ˈBRĔ-kŭn-RĬJ
BRECKER	ˈBRĔ-kur
BRECO	ˈBRĔ-kō
BRED	ˈBRĔD
BREDA	ˈBRĀ-dŭ
BREDE	ˈBRĒD
BREDEN	ˈBRĒ-dŭn
BREDESON	ˈBRĔ-dĭ-sŭn
BREE	ˈBRĒ
BREECE	ˈBRĒS
BREECH	ˈBRĒCH
BREECHING	ˈBRĒ-chĭng
BREED	ˈBRĒD
BREED'S	ˈBRĒDZ
BREEDEN	ˈBRĒ-dŭn
BREEDEN'S	ˈBRĒ-dŭnz
BREEDER	ˈBRĒ-dur
BREEDERS	ˈBRĒ-durz
BREEDERS'	ˈBRĒ-durz
BREEDING	ˈBRĒ-dĭng
BREEDLOVE	ˈBRĒD-LŬV
BREEDS	ˈBRĒDZ
BREELAND	ˈBRĒ-lŭnd
BREEN	ˈBRĒN
BREES	ˈBRĒZ
BREESE	ˈBRĒZ
BREEZE	ˈBRĒZ
BREEZED	ˈBRĒZD
BREEZES	ˈBRĒ-zĭz
BREEZEWAY	ˈBRĒZ-WĀ
BREEZY	ˈBRĒ-zē
BREGE	ˈBRĒJ
BREGER	ˈBRĒ-gur
BREGLIO	ˈBRĔ-glē-ō
BREGMAN	ˈBRĔG-mŭn
BREGUET	ˈBRĒ-gŭt
BREHM	ˈBRĔM
BREHMER	ˈBRĔ-mur
BREIDENBACH	ˈBRĪ-dĭn-bŏk
BREIDENSTEIN	ˈBRĪ-dŭn-stīn
BREIDENSTEIN(1)	ˈBRĪ-dŭn-stēn
BREIER	ˈBRĪ-ur
BREIGHNER	ˈBRĀ-nur
BREIGHTON	ˈBRĪ-tŭn
BREINER	ˈBRĪ-nur
BREINING	ˈBRĪ-nĭng
BREININGER	ˈBRĪ-nĭ-ngur
BREISCH	ˈBRĪSH
BREIT	ˈBRĒT
BREITBACH	ˈBRĪT-BŎK
BREITBARTH	ˈBRĪT-BŎRTH
BREITENBACH	ˈBRĪ-tĭn-bŏk
BREITENSTEIN	ˈBRĪ-tŭn-stīn
BREITENSTEIN(1)	ˈBRĪ-tŭn-stēn
BREITHAUPT	ˈBRĪ-thowpt
BREITKREUTZ	ˈBRĪT-KROYTS
BREITLING	ˈBRĪ-tŭ-lĭng
BREITLING(1)	ˈBRĪT-lĭng
BREITMAN	ˈBRĪT-mŭn
BREITSCHWERDT	ˈBRĪCH-wurt
BREITWEISER	ˈBRĪ-TWĪ-sur
BREITZMAN	ˈBRĪT-smŭn
BREKKE	ˈBRĔK
BRELAND	ˈBRĔ-lŭnd
BRELSFORD	ˈBRĔLS-furd
BREM	ˈBRĔM
BREMEN	ˈBRĔ-mŭn
BREMER	ˈBRĒ-mur
BREMMER	ˈBRĔ-mur
BREMNER	ˈBRĔM-nur
BREMS	ˈBRĔMZ
BREN	ˈBRĔN
BRENDA	ˈBRĔN-dŭ
BRENDA'S	ˈBRĔN-dŭz
BRENDAN	ˈBRĔN-dŭn
BRENDEL	ˈBRĔN-dŭl
BRENDEN	ˈBRĔN-dŭn
BRENDER	ˈBRĔN-dur
BRENDLE	ˈBRĔN-dŭl
BRENDLINGER	ˈBRĔN-dŭ-lĭ-ngur
BRENDLINGER(1)	ˈBRĔND-lĭ-ngur
BRENDON	ˈBRĔN-dŭn
BRENDOR	ˈBRĔN-dur
BRENDSEL	ˈBRĔND-sŭl
BRENEMAN	ˈBRĒN-mŭn
BRENER	ˈBRĒ-nur
BRENES	ˈBRĒNZ
BRENGLE	ˈBRĬ-ngŭl
BRENIZER	ˈBRĔ-nī-zur
BRENN	ˈBRĔN
BRENNA	ˈBRĔ-nŭ
BRENNAN	ˈBRĔ-nŭn
BRENNAN'S	ˈBRĔ-nŭnz
BRENNANS	ˈBRĔ-nŭnz
BRENNECKE	ˈBRĔ-nĭk
BRENNEKE	ˈBRĔ-nŭ-kē
BRENNEMAN	ˈBRĔN-mŭn
BRENNEN	ˈBRĔ-nŭn
BRENNER	ˈBRĔ-nur
BRENNING	ˈBRĔ-nĭng
BRENSINGER	ˈBRĔN-sĭ-ngur
BRENT	ˈBRĔNT
BRENTANO	BRĔN-ˈTŎ-nō
BRENTANOS	BRĔN-ˈTŎ-nōz
BRENTLINGER	ˈBRĔN-tŭ-lĭ-ngur
BRENTLINGER(1)	ˈBRĔNT-lĭ-ngur
BRENTON	ˈBRĔN-tŭn
BRENTS	ˈBRĔNTS
BRENTWOOD	ˈBRĔN-TWO͝OD
BREON	ˈBRĒ-ŭn
BRESCA	ˈBRĔ-skŭ
BRESCIA	ˈBRĔS-chŭ
BRESEE	brĭ-ˈSĒ
BRESETTE	brĭ-ˈSĔT
BRESHEARS	ˈBRĔ-shērz
BRESLAW	ˈBRĔ-slŏ
BRESLER	ˈBRĔ-slur
BRESLIN	ˈBRĔ-slĭn
BRESLOW	ˈBRĔ-slō
BRESNAHAN	ˈBRĔ-snŭ-hăn
BRESNAN	ˈBRĔ-snŭn
BRESNICK	ˈBRĔ-snĭk
BRESS	ˈBRĔS
BRESSE	ˈBRĔS
BRESSEAU	ˈBRĔ-sō
BRESSER	ˈBRĔ-sur
BRESSER'S	ˈBRĔ-surz
BRESSETTE	BRĔ-ˈSĔT
BRESSLER	ˈBRĔ-slur
BRESSMAN	ˈBRĔ-smŭn
BRESSON	ˈBRĔ-sŭn
BREST	ˈBRĔST
BRESTER	ˈBRĔ-stur
BRET	ˈBRĔT
BRETH	ˈBRĔTH
BRETHAUER	ˈBRĔ-thow-ur
BRETHEN	ˈBRĒ-thŭn
BRETHREN	ˈBRĔ𝘵𝘩-rŭn
BRETON	ˈBRĔ-tŭn
BRETSCHNEIDER	ˈBRĔCH-nī-dur
BRETT	ˈBRĔT
BRETTHAUER	ˈBRĔ-THOW-ur
BRETTON	ˈBRĔ-tŭn
BRETTS	ˈBRĔTS
BRETTSCHNEIDER	ˈBRĔCH-NĪ-dur
BRETTSCHNEIDER(1)	ˈBRĔT-SNĪ-dur
BRETZ	ˈBRĔTS
BREUER	ˈBRO͞O-ur
BREUNIG	ˈBRO͞O-nĭg
BREUNINGER	ˈBRO͞O-nĭ-ngur
BREVARD	ˈBRĔ-vurd
BREVETS	brŭ-ˈVĔTS
BREVIG	ˈBRĔ-vĭg
BREVIK	ˈBRĔ-vĭk
BREVITY	ˈBRĔ-vŭ-tē
BREW	ˈBRO͞O
BREWBAKER	ˈBRO͞O-BĀ-kur
BREWED	ˈBRO͞OD
BREWER	ˈBRO͞O-ur
BREWER'S	ˈBRO͞O-urz
BREWERIES	ˈBRO͞O-ur-ēz
BREWERIES(1)	ˈBRO͞O-rēz
BREWERS	ˈBRO͞O-urz
BREWERS'	ˈBRO͞O-urz
BREWERY	ˈBRO͞O-ur-ē
BREWING	ˈBRO͞O-ĭng
BREWINGTON	ˈBRO͞O-ĭng-tŭn
BREWRY	ˈBRO͞O-rē
BREWS	ˈBRO͞OZ
BREWSTER	ˈBRO͞O-stur
BREWTON	ˈBRO͞O-tŭn
BREY	ˈBRĀ
BREYER	ˈBRĀ-ur
BREYER'S	ˈBRĀ-urz
BREYFOGLE	ˈBRĀ-FŌ-gŭl
BREZA	ˈBRĔ-zŭ
BREZHNEV	ˈBRĔZ-nŭv
BREZHNEV(1)	ˈBRĔZ-nĕf
BREZHNEV'S	ˈBRĔZ-nŭvz
BREZHNEV'S(1)	ˈBRĔZ-nĕfs
BREZINA	brĕ-ˈZĒ-nŭ
BREZINSKI	brĭ-ˈZĬN-skē
BRIA	ˈBRĒ-ŭ
BRIAN	ˈBRĪ-ŭn
BRIAN'S	ˈBRĪ-ŭnz
BRIANA	brē-ˈĂ-nŭ
BRIANA(1)	brē-ˈŎ-nŭ
BRIANA'S	brē-ˈĂ-nŭz
BRIANA'S(1)	brē-ˈŎ-nŭz
BRIANCON	ˈBRĪ-ŭn-sŭn
BRIAND	ˈBRĪ-ŭnd
BRIANNA	brē-ˈĂ-nŭ
BRIANNA'S	brē-ˈĂ-nŭz
BRIANT	ˈBRĪ-ŭnt
BRIAR	ˈBRĪ-ur
BRIARCLIFF	ˈBRĪR-KLĬF
BRIBE	ˈBRĪB
BRIBED	ˈBRĪBD
BRIBERY	ˈBRĪ-bur-ē
BRIBES	ˈBRĪBZ
BRIBING	ˈBRĪ-bĭng
BRIC	ˈBRĬK
BRICCETTI	brĭ-ˈCHĔ-tē
BRICCO	ˈBRĬ-kō
BRICE	ˈBRĪS
BRICENO	brē-ˈCHĔ-nō
BRICK	ˈBRĬK
BRICKBAT	ˈBRĬK-BĂT
BRICKBATS	ˈBRĬK-BĂTS
BRICKEL	ˈBRĬ-kŭl
BRICKELL	ˈBRĬ-kŭl
BRICKER	ˈBRĬ-kur
BRICKEY	ˈBRĬ-kē
BRICKHOUSE	ˈBRĬK-HOWS
BRICKLAYER	ˈBRĬ-KLĀ-ur
BRICKLAYERS	ˈBRĬ-KLĀ-urz
BRICKLE	ˈBRĬ-kŭl
BRICKLER	ˈBRĬ-klur
BRICKLEY	ˈBRĬ-klē
BRICKLIN	ˈBRĬ-klĭn
BRICKLIN'S	ˈBRĬ-klĭnz
BRICKMAN	ˈBRĬK-mŭn
BRICKNER	ˈBRĬK-nur
BRICKS	ˈBRĬKS
BRICKYARD	ˈBRĬK-YŎRD
BRICOM	ˈBRĬ-kŭm
BRIDAL	ˈBRĪ-dŭl
BRIDE	ˈBRĪD
BRIDE'S	ˈBRĪDZ
BRIDEAU	brĭ-ˈDŌ
BRIDEGROOM	ˈBRĪD-GRO͞OM
BRIDEGROOM'S	ˈBRĪD-GRO͞OMZ
BRIDEN	ˈBRĪ-dŭn
BRIDENBAUGH	ˈBRĬ-dĭn-bow
BRIDENSTINE	ˈBRĬ-dĭn-stēn
BRIDES	ˈBRĪDZ
BRIDESBURG	ˈBRĪDZ-bŭrg
BRIDESMAID	ˈBRĪDZ-MĀD
BRIDESMAID'S	ˈBRĪDZ-MĀDZ
BRIDESMAIDS	ˈBRĪDZ-MĀDZ
BRIDESMAIDS'	ˈBRĪDZ-MĀDZ
BRIDGE	ˈBRĬJ
BRIDGE'S	ˈBRĬ-jĭz
BRIDGED	ˈBRĬJD
BRIDGEFORD	ˈBRĬJ-fŏrd
BRIDGEFORTH	ˈBRĬJ-FŎRTH
BRIDGEHEAD	ˈBRĬJ-HĔD
BRIDGEMAN	ˈBRĬJ-mŭn
BRIDGEPORT	ˈBRĬJ-PŎRT
BRIDGER	ˈBRĬ-jur
BRIDGERS	ˈBRĬ-jurz
BRIDGES	ˈBRĬ-jŭz
BRIDGES(1)	ˈBRĬ-jĭz
BRIDGESTONE	ˈBRĬJ-STŌN
BRIDGESTONE'S	ˈBRĬJ-STŌNZ
BRIDGET	ˈBRĬ-jŭt
BRIDGET(1)	ˈBRĬ-jĭt
BRIDGET'S	ˈBRĬ-jŭts
BRIDGETON	ˈBRĬJ-tŭn
BRIDGETOWN	ˈBRĬJ-TOWN
BRIDGETT	ˈBRĬ-jĭt
BRIDGETTE	ˈBRĬ-jĭt
BRIDGETTE(1)	BRĬ-ˈJĒT
BRIDGEWATER	ˈBRĬJ-WŎ-tur
BRIDGHAM	ˈBRĬJ-hŭm
BRIDGING	ˈBRĬ-jĭng
BRIDGMAN	ˈBRĬJ-mŭn
BRIDIE	ˈBRĬ-dē
BRIDLE	ˈBRĪ-dŭl
BRIDLED	ˈBRĪ-dŭld
BRIDWELL	ˈBRĬD-WĔL
BRIE	ˈBRĒ
BRIEANT	ˈBRĒ-ŭnt
BRIEF	ˈBRĒF
BRIEFCASE	ˈBRĒF-KĀS
BRIEFCASES	ˈBRĒF-KĀ-sĭz
BRIEFED	ˈBRĒFT
BRIEFER	ˈBRĒ-fur
BRIEFERS	ˈBRĒ-furz
BRIEFEST	ˈBRĒ-fŭst
BRIEFING	ˈBRĒ-fĭng
BRIEFINGS	ˈBRĒ-fĭngz
BRIEFLY	ˈBRĒ-flē
BRIEFS	ˈBRĒFS
BRIEGEL	ˈBRĒ-gŭl
BRIEGER	ˈBRĒ-gur
BRIEL	ˈBRĒL
BRIEN	ˈBRĪ-ĭn
BRIENZA	ˈBRĒN-zŭ
BRIER	ˈBRĪ-ur
BRIERE	ˈBRĬR
BRIERLEY	ˈBRĪ-ur-lē
BRIERLY	ˈBRĪ-ur-lē
BRIESE	ˈBRĒZ
BRIETZKE	ˈBRĒT-skē
BRIG	ˈBRĬG
BRIGADE	brŭ-ˈGĀD
BRIGADE(1)	brĭ-ˈGĀD
BRIGADEER	BRĬ-gŭ-ˈDĬR
BRIGADES	brĭ-ˈGĀDZ
BRIGADIER	BRĬ-gŭ-ˈDĬR
BRIGANCE	ˈBRĬ-gŭns
BRIGANDI	brĭ-ˈGĂN-dē
BRIGANTE	brē-ˈGŎN-tē
BRIGANTI	brĭ-ˈGĂN-tē
BRIGGS	ˈBRĬGZ
BRIGGSTONE	ˈBRĬG-stōn
BRIGHAM	ˈBRĬ-gŭm
BRIGHAM'S	ˈBRĬ-gŭmz
BRIGHAMS	ˈBRĬ-gŭmz
BRIGHT	ˈBRĪT
BRIGHT'S	ˈBRĪTS
BRIGHTBILL	ˈBRĪT-BĬL
BRIGHTEN	ˈBRĪ-tŭn
BRIGHTENED	ˈBRĪ-tŭnd
BRIGHTENING	ˈBRĪ-tŭ-nĭng
BRIGHTENING(1)	ˈBRĪT-nĭng
BRIGHTENS	ˈBRĪ-tŭnz
BRIGHTER	ˈBRĪ-tur
BRIGHTEST	ˈBRĪ-tŭst
BRIGHTLY	ˈBRĪT-lē
BRIGHTMAN	ˈBRĪT-mŭn
BRIGHTNESS	ˈBRĪT-nŭs
BRIGHTON	ˈBRĪ-tŭn
BRIGHTWELL	ˈBRĪ-TWĔL
BRIGITTE	ˈBRĬ-jĭt
BRIGMAN	ˈBRĬG-mŭn
BRIGNAC	ˈBRĬG-nŭk
BRIGNER	ˈBRĪG-nur
BRIGODE	brĭ-ˈGŌ-dŭ
BRIGUGLIO	brĭ-ˈGŬ-glē-ō
BRILES	ˈBRĪLZ
BRILEY	ˈBRĬ-lē
BRILL	ˈBRĬL
BRILL'S	ˈBRĬLZ
BRILLHART	ˈBRĬL-HŎRT
BRILLIANCE	ˈBRĬL-yŭns
BRILLIANT	ˈBRĬL-yŭnt
BRILLIANTLY	ˈBRĬL-yŭnt-lē
BRILLSTEIN	ˈBRĬL-STĒN
BRILLSTEIN(1)	ˈBRĬL-STĪN
BRIM	ˈBRĬM
BRIMBERRY	ˈBRĬM-BĔ-rē
BRIMELOW	ˈBRĬ-mŭ-lō
BRIMER	ˈBRĪ-mur
BRIMHALL	ˈBRĬM-HŎL
BRIMM	ˈBRĬM
BRIMMED	ˈBRĬMD
BRIMMER	ˈBRĬ-mur
BRIMMING	ˈBRĬ-mĭng
BRIMSTONE	ˈBRĬM-stōn
BRIN	ˈBRĬN
BRINDEL	ˈBRĬN-DĔL
BRINDLE	ˈBRĬN-dŭl
BRINDLEY	ˈBRĬND-lē
BRINE	ˈBRĪN
BRINEGAR	ˈBRĬ-nĭ-gur
BRINER	ˈBRĪ-nur
BRINES	ˈBRĪNZ
BRINEY	ˈBRĬ-nē
BRING	ˈBRĬNG
BRINGHURST	ˈBRĬNG-hurst
BRINGING	ˈBRĬ-ngĭng
BRINGLE	ˈBRĬNG-gŭl
BRINGMAN	ˈBRĬNG-mŭn
BRINGS	ˈBRĬNGZ
BRINGTON	ˈBRĬNG-tŭn
BRINING	ˈBRĪ-nĭng
BRINK	ˈBRĬNGK
BRINK'S	ˈBRĬNGKS
BRINKER	ˈBRĬNG-kur
BRINKERHOFF	ˈBRĬNG-kur-HŎF
BRINKLEY	ˈBRĬNG-klē
BRINKLEY'S	ˈBRĬNG-klēz
BRINKLY	ˈBRĬNG-klē
BRINKMAN	ˈBRĬNGK-mŭn
BRINKMANN	ˈBRĬNGK-mŭn
BRINKMANN'S	ˈBRĬNGK-mŭnz
BRINKMANSHIP	ˈBRĬNGK-mŭn-SHĬP
BRINKMEIER	ˈBRĬNGK-mī-ur
BRINKMEYER	ˈBRĬNGK-mī-ur
BRINKS	ˈBRĬNGKS
BRINKSMANSHIP	ˈBRĬNGK-smŭn-SHĬP
BRINLEE	ˈBRĬN-lē
BRINLEY	ˈBRĬN-lē
BRINN	ˈBRĬN
BRINNER	ˈBRĬ-nur
BRINSER	ˈBRĬN-sur
BRINSFIELD	ˈBRĬNS-fēld
BRINSON	ˈBRĬN-sŭn
BRINTEC	ˈBRĬN-TĔK
BRINTON	ˈBRĬN-tŭn
BRIO	ˈBRĪ-ō
BRIOCHE	BRĒ-ˈŌSH
BRIOCHE(1)	ˈBRĒ-ŏsh
BRIODY	ˈBRĪ-ŭ-dē
BRION	ˈBRĪ-ŭn
BRIONES	brē-ˈŌ-nĕs
BRIONY	ˈBRĪ-ŭ-NĒ
BRIONY'S	ˈBRĪ-ŭ-NĒZ
